"age","phd","educ","logwage","hs","somecoll","college","ma","govt"
43,0,16,3.70372596223093,0,0,1,0,0
32,0,18,2.77419000360676,0,0,0,1,0
44,0,16,3.42651518964645,0,0,1,0,0
31,0,16,3.41076683267831,0,0,1,0,0
41,0,18,3.05182174020503,0,0,0,1,1
43,0,16,2.27863185197155,0,0,1,0,0
41,0,16,3.17965511171492,0,0,1,0,0
48,0,14,3.1976736172176,0,1,0,0,0
37,0,16,2.04022082852655,0,0,1,0,0
42,0,16,2.79399263090294,0,0,1,0,0
38,0,13,2.99573227355399,0,1,0,0,0
41,1,20,3.12299405316492,0,0,0,0,0
44,0,14,3.03655426807425,0,1,0,0,0
41,0,16,4.39687314279088,0,0,1,0,0
41,1,20,3.83198029775461,0,0,0,0,0
41,1,20,1.38629436111989,0,0,0,0,0
50,0,12,2.95651156040071,1,0,0,0,0
33,0,12,2.9893013832237,1,0,0,0,1
34,0,13,2.64285400154567,0,1,0,0,0
50,0,18,4.44189682416483,0,0,0,1,0
47,0,16,1.45243416362444,0,0,1,0,0
38,0,16,2.6023397466801,0,0,1,0,0
41,0,13,3.08534443224368,0,1,0,0,0
35,0,18,3.69844890513009,0,0,0,1,0
50,0,18,3.50173861088403,0,0,0,1,0
37,0,16,3.4673371841667,0,0,1,0,1
48,0,12,4.16048436472665,1,0,0,0,0
37,0,12,2.86950018341108,1,0,0,0,0
40,0,16,3.37261982860735,0,0,1,0,1
37,0,12,3.17965511171492,1,0,0,0,0
32,0,12,2.59983661646198,1,0,0,0,0
31,0,12,2.81341071676004,1,0,0,0,0
48,0,12,3.17965511171492,1,0,0,0,0
45,0,12,3.07787241740498,1,0,0,0,0
32,0,12,2.34279151347209,1,0,0,0,0
40,0,12,2.48650793115497,1,0,0,0,0
43,0,12,2.85814661060143,1,0,0,0,0
43,0,12,2.26336437984076,1,0,0,0,0
49,0,12,2.95651156040071,1,0,0,0,0
43,0,16,2.7051971321198,0,0,1,0,0
47,0,18,3.4732688427587,0,0,0,1,0
37,0,12,2.94893576659225,1,0,0,0,0
46,0,16,1.38629436111989,0,0,1,0,0
47,0,14,3.13549421592915,0,1,0,0,0
43,0,13,3.64965874096066,0,1,0,0,0
31,0,12,1.38629436111989,1,0,0,0,0
40,0,13,2.93630885308319,0,1,0,0,0
40,0,14,3.61143752814046,0,1,0,0,1
33,0,16,3.60186807712431,0,0,1,0,1
41,0,12,3.39476649133186,1,0,0,0,0
34,0,18,2.82298016777619,0,0,0,1,1
36,0,16,2.95651156040071,0,0,1,0,0
33,0,16,2.45348874869774,0,0,1,0,0
40,0,12,3.05182174020503,1,0,0,0,0
38,0,18,3.62148786399396,0,0,0,1,0
47,0,13,3.07429459605709,0,1,0,0,1
38,0,14,3.27496529151924,0,1,0,0,0
40,0,16,3.4673371841667,0,0,1,0,0
48,0,14,3.54429822530283,0,1,0,0,1
45,0,13,3.12202599887828,0,1,0,0,0
48,0,16,3.31318650433944,0,0,1,0,0
39,0,12,2.70805020110221,1,0,0,0,0
39,0,14,4.09594584358907,0,1,0,0,0
47,0,16,3.36197666850887,0,0,1,0,0
41,0,12,2.3121545440102,1,0,0,0,0
44,0,12,2.79399263090294,1,0,0,0,0
44,0,12,1.38629436111989,1,0,0,0,0
43,0,13,2.8566912251185,0,1,0,0,0
38,0,13,2.78215817325593,0,1,0,0,0
40,0,12,3.67435135355103,1,0,0,0,0
45,0,13,2.95651156040071,0,1,0,0,0
48,0,12,1.38629436111989,1,0,0,0,0
49,0,16,2.01490302054226,0,0,1,0,0
49,0,12,3.02883222198034,1,0,0,0,0
40,0,12,2.95651156040071,1,0,0,0,0
35,0,13,1.75253875607477,0,1,0,0,1
35,0,13,2.95651156040071,0,1,0,0,0
42,0,12,1.38629436111989,1,0,0,0,0
30,0,16,3.82150899788731,0,0,1,0,0
39,0,13,1.6094379124341,0,1,0,0,0
50,0,12,3.44201937618241,1,0,0,0,0
31,0,12,2.40794560865187,1,0,0,0,0
41,0,13,1.38629436111989,0,1,0,0,0
48,0,16,3.64965874096066,0,0,1,0,0
49,0,16,2.90244433913043,0,0,1,0,0
46,0,12,2.56631392442333,1,0,0,0,0
34,0,12,2.22946282816508,1,0,0,0,0
50,0,12,3.00530172457014,1,0,0,0,0
35,0,13,3.48713981146288,0,1,0,0,0
30,0,14,2.6200393237795,0,1,0,0,0
30,0,12,2.00385318435568,1,0,0,0,0
46,0,13,3.4572868483132,0,1,0,0,1
37,0,16,2.48650793115497,0,0,1,0,0
49,0,16,3.71028336277709,0,0,1,0,1
38,0,12,2.90521826601316,1,0,0,0,1
37,0,16,1.38629436111989,0,0,1,0,0
44,0,12,2.95651156040071,1,0,0,0,1
